,Category,Item_Description_PREPROCESSED
2281,Advertising,SMAP Post Card Mailer Printed Collateral Direct Mail Ball Corp
2282,Property Services,American Standard Inc Store Management Real Estate Lease Rent Base Rent
2283,Property Services,Facility Construction General Requirements Flightsafety International Inc General Contractor Final Site Clean
2284,Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services Butler Manufacturing Corporate Services Auto Leasing
2285,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Brother Industries Ltd Adr Travel and Entertainment
2286,Property Services,Lease Rent Real Estate Bancshares Inc Facility Management Base Rent
2287,Property Services,Oakhill Sportswear Corp Final Site Clean General Requirements General Contractor Store Construction
2288,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fort Howard Corp
2289,Passenger Road Transportation,Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car Field Only May Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
2290,Advertising,SMAP Magazines National Advertising Media Buy Traditional May Eac Industries Inc
2291,Property Services,Store Construction Final Site Clean General Contractor General Requirements Colonial Trust Iii
2292,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Jan Exchange Corp
2293,Advertising,SMAP Paid Social Content Production with Influencer Digital Paid Media Media Buy Social Costa Inc
2294,Property Services,Real Estate Lease Rent Base Rent Lake College Llc Store Management
2295,Passenger Road Transportation,Fort Howard Corp Mar Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
2296,Property Services,Base Rent Apr Store Management Edwards Robert Real Estate Lease Rent
2297,Passenger Road Transportation,Fort Howard Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2298,Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services Corning Inc Corporate Services Auto Leasing
2299,Passenger Road Transportation,Miscellaneous Company Car Field Only Sep Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
2300,Agency Fee,Agency Fees Commissions Production Paso Natural Gas SMAP Other Agency
2301,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Corning Inc
2302,Labour,Corporate Services Contingent Labor Temp Labor Human Resources Contingent Labor Temp Labor Flow Lab Inc
2303,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fox Pitt Kelton Inc Travel and Entertainment
2304,Property Services,Store Management Base Rent Real Estate Lease Rent Fischer Porter
2305,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Metric Capital Corp Travel and Entertainment
2306,Property Services,Final Site Clean Store Construction Westford Group Inc General Contractor General Requirements
2307,Property Services,Base Rent Jun Store Management Ferry Cap Set Screw Real Estate Lease Rent
2308,Passenger Road Transportation,Continental Insurance Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
2309,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Hornblower Weeks Inc Ground Transportation Miscellaneous Company Car Field Only Mar
2310,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Fortune National Corp Travel and Entertainment Miscellaneous Company Car Field Only
2311,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Dec Butler Manufacturing
2312,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fort Howard Corp
2313,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp
2314,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Brother Industries Ltd Adr
2315,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John Other Corporate Services Auto Leasing and Maintenance
2316,Property Services,Base Rent Nov Store Management Bancwest Corp Real Estate Lease Rent
2317,Property Services,Base Rent Store Management Suntrust Capital Markets Inc Real Estate Lease Rent
2318,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2319,Property Services,Real Estate Store Management Lease Rent Base Rent Arnhold Bleichroeder Inc
2320,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
2321,Property Services,Base Rent Store Management Columbia Gas System Service Corp Real Estate Lease Rent
2322,Advertising,SMAP Talent Artists Models for Trade Show Events and Promotions Trade Show Expenses Dawson John Associates Inc
2323,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
2324,Advertising,SMAP Artworking Typesetting Froley Revy Investment Inc Production Prototype and Comp Production Packaging Design
2325,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Daly John Other Corporate Services Auto Passenger Road Transportation Repair and Maintenance
2326,Property Services,Shelby Cullom Davis Store Management Real Estate Lease Rent Base Rent
2327,Property Services,Champion International Corp Base Rent Lease Rent Real Estate Store Management
2328,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Alco Standard Corp Ground Transportation Miscellaneous Company Car Field Only
2329,Property Services,Real Estate Lease Rent Base Rent Baldwin Lyons Inc Store Management
2330,Advertising,Production Artworking Typesetting Prototype and Comp Production Packaging Design Bangor Hydro Electric SMAP
2331,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fort Howard Corp
2332,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Airtex Products Inc
2333,Property Services,Base Rent Facility Management Coastal Caribbean Oils Minerals Ltd Real Estate Lease Rent
2334,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Akzo Nobel Miscellaneous Company Car Field Only Ground Transportation
2335,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Dec Auto Leasing and Maintenance Other Corporate Services
2336,Property Services,Base Rent Store Management Commonwealth Edison Real Estate Lease Rent
2337,Advertising,National Advertising Media Buy Traditional Magazines Digital Equipment Corp SMAP
2338,Property Services,General Contractor General Requirements Final Site Clean Colonial Trust Iii Store Construction
2339,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Cooper Laboratories Inc Stockholders Liquidating Trust Travel and Entertainment Miscellaneous Company Car Field Only
2340,Property Services,Store Construction Final Site Clean General Contractor General Requirements Dayton Power Light
2341,Labour,Corporate Services Contingent Labor Temp Labor Detection Systems Inc Human Resources Contingent Labor Temp Labor
2342,Property Services,Store Construction Final Site Clean General Contractor General Requirements Sep Dollar General Corp
2343,Labour,Alco Standard Corp Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
2344,Passenger Road Transportation,Air Products Chemicals Inc Miscellaneous Company Car Field Only Nov Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
2345,Advertising,Production Artworking Typesetting Prototype and Comp Production Packaging Design Aquila Distributors Inc May SMAP
2346,Property Services,Final Site Clean Store Construction American Pad Paper General Requirements General Contractor
2347,Advertising,SMAP Prototype and Comp Production Packaging Design Production Artworking Typesetting Dec Legg Mason Wood Walker Inc
2348,Property Services,Base Rent Store Management California Engels Mining Lease Rent Real Estate
2349,Property Services,Real Estate Lease Rent Base Rent Foote Cone Belding Communications Inc Aug Store Management
2350,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Corning Inc
2351,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John Other Corporate Services Auto Leasing and Maintenance
2352,Passenger Road Transportation,Metric Capital Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2353,Property Services,Building and Property Insurance Corporate Services Corning Natural Gas Corp Commercial Insurance Building and Property Insurance
2354,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Brother Industries Ltd Adr Ground Transportation Miscellaneous Company Car Field Only
2355,Logistics,Corporate Bond Trust Series Supply Chain Logistics Transportation Services Parcel Postage Courier
2356,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune National Corp Miscellaneous Company Car Field Only Ground Transportation
2357,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2358,Advertising,Catalogue SMAP Brokerage Inc National Advertising Media Buy Traditional
2359,Passenger Road Transportation,Akzo Nobel Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
2360,Advertising,SMAP Catalogue National Advertising Media Buy Traditional Brokerage Inc
2361,Property Services,Base Rent Store Management Electro Rent Corp Real Estate Lease Rent
2362,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Other Corporate Services Auto Leasing
2363,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car Field Only Ground Transportation
2364,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John
2365,Agency Fee,SMAP Agency Fees Commissions Fab Industries Inc Production Other Agency
2366,Labour,Corporate Services Contingent Labor Temp Labor Human Resources Contingent Labor Temp Labor Fam Distributors Inc
2367,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services
2368,Advertising,Bormans Inc Messaging Media Buy Media Buy Mobile Mail Direct SMAP Digital Paid Media
2369,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Other Corporate Services Auto Leasing and Maintenance
2370,Property Services,Energy Conversion Devices Inc Final Site Clean General Requirements Store Construction General Contractor
2371,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
2372,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Angeloff
2373,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Nov Auto Leasing and Maintenance Other Corporate Services Corporate Services
2374,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Other Corporate Services Auto Leasing and Maintenance
2375,Property Services,Bancwest Corp Base Rent Lease Rent Real Estate Store Management
2376,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Auto Leasing and Maintenance Other Corporate Services
2377,Advertising,Catalogue SMAP Brokerage Inc Media Buy Traditional National Advertising
2378,Property Services,Final Site Clean Facility Construction Flightsafety International Inc General Contractor General Requirements
2379,Advertising,Production Digital Social Digital Display Asi Technology Corp Jan SMAP
2380,Property Services,Brokerage Inc Apr Store Construction General Contractor General Requirements Final Site Clean
2381,Property Services,Thomson Richard William Sep Store Management Real Estate Lease Rent Base Rent
2382,Property Services,Final Site Clean Store Construction Datron Systems Inc General Contractor General Requirements
2383,Property Services,General Contractor Store Construction General Requirements Final Site Clean American Home Assurance
2384,Passenger Road Transportation,Air Products Chemicals Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
2385,Labour,American Business Products Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
2386,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Akorn Inc Mar Travel and Entertainment
2387,Passenger Road Transportation,Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car Field Only Sep Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
2388,Property Services,California Engels Mining Store Management Real Estate Lease Rent Base Rent
2389,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Metric Capital Corp Ground Transportation Miscellaneous Company Car Field Only
2390,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Chyron Corp Ground Transportation Miscellaneous Company Car Field Only Jul
2391,Passenger Road Transportation,Dec Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2392,Property Services,Store Construction Final Site Clean General Contractor General Requirements Dravo Corp
2393,Passenger Road Transportation,Butler Manufacturing Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2394,Property Services,General Contractor General Requirements Final Site Clean Colonial Trust Iii Store Construction
2395,Property Services,General Contractor General Requirements Final Site Clean Flightsafety International Inc Facility Construction
2396,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John Corporate Services
2397,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Texas New Mexico Power
2398,Property Services,General Contractor Store Construction General Requirements Final Site Clean Brock Exploration Corp
2399,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Auto Leasing and Maintenance Other Corporate Services
2400,Property Services,Base Rent May Store Management Fmc Corp Real Estate Lease Rent
2401,Labour,Contingent Labor Temp Labor Corporate Services Cit Group Holdings Inc Contingent Labor Temp Labor Human Resources
2402,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Brother Industries Ltd Adr Travel and Entertainment
2403,Property Services,Real Estate Store Management Lease Rent Base Rent Sep Bradley Woods Ltd
2404,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc Other Corporate Services Auto Leasing
2405,Property Services,Store Construction Final Site Clean General Contractor General Requirements Allcity Insurance
2406,Passenger Road Transportation,Daly John Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance
2407,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2408,Property Services,Base Rent Store Management Allegheny Energy Inc Lease Rent Real Estate
2409,Advertising,Addmaster Corp Magazines Media Buy Traditional SMAP National Advertising
2410,Advertising,Prototype and Comp Production Packaging Design SMAP Champion Parts Inc Dec Artworking Typesetting Production
2411,Property Services,Real Estate Store Management Lease Rent Base Rent Best Lock Corp
2412,Labour,Contingent Labor Temp Labor Corporate Services American Business Products Inc Jun Contingent Labor Temp Labor Human Resources
2413,Property Services,Store Management Lease Rent Stuart Frankel Incorporated Real Estate Base Rent
2414,Property Services,Store Construction Final Site Clean General Contractor General Requirements Oct Ealing Corp
2415,Property Services,Base Rent Store Management Cabe Inc Real Estate Lease Rent
2416,Passenger Road Transportation,Metric Capital Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2417,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Chyron Corp Ground Transportation Miscellaneous Company Car Field Only
2418,Property Services,General Contractor Store Construction General Requirements Final Site Clean Feb Ealing Corp
2419,Passenger Road Transportation,Akorn Inc Miscellaneous Company Car Field Only Dec Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
2420,Advertising,Miscellaneous Printed Materials SMAP Cameron Murphy Spangler Inc Miscellaneous Printed Materials Printed Collateral
2421,Property Services,Store Management Base Rent Real Estate Lease Rent May Ace Hardware Corp
2422,Property Services,Colonial Trust Iii Store Construction General Contractor General Requirements Final Site Clean
2423,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Akorn Inc Feb Travel and Entertainment
2424,Labour,Contingent Labor Temp Labor Corporate Services Engel John William Contingent Labor Temp Labor Human Resources
2425,Property Services,Store Management Base Rent Real Estate Lease Rent Jan Ametech Inc
2426,Advertising,SMAP Trade Show Expenses Consumers Water Events and Promotions Talent Artists Models for Trade Show
2427,Property Services,General Contractor General Requirements Final Site Clean Hancock John Investment Trust Oct Facility Construction
2428,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Apr Airtex Products Inc
2429,Property Services,Lease Rent Real Estate Claires Stores Inc Store Management Base Rent
2430,Property Services,Dreyfus Bonds Plus Inc Base Rent Lease Rent Real Estate Store Management
2431,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Metric Capital Corp Aug Miscellaneous Company Car Field Only Ground Transportation
2432,Property Services,Nov Fidelity Hastings Street Trust Base Rent Lease Rent Store Management Real Estate
2433,Passenger Road Transportation,Corning Inc Auto Leasing Feb Auto Leasing and Maintenance Other Corporate Services Corporate Services
2434,Property Services,American Fidelity Corp Store Management Real Estate Lease Rent Base Rent
2435,Advertising,Printed Collateral SMAP Direct Mail Post Card Mailer Mar Connecticut Yankee Atomic Power
2436,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Chyron Corp Travel and Entertainment
2437,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Corning Inc
2438,Advertising,SMAP Prototype and Comp Production Packaging Design Production Artworking Typesetting Legg Mason Wood Walker Inc
2439,Property Services,Dollar General Corp Final Site Clean General Requirements General Contractor Store Construction
2440,Property Services,Colonial Trust Iii Final Site Clean General Requirements General Contractor Store Construction
2441,Agency Fee,SMAP Public Relations Agency Events and Promotions Agency Fees Commissions Harris Investorline Inc
2442,Advertising,Events and Promotions SMAP Trade Show Expenses Talent Artists Models for Trade Show Mar Caspers Tin Plate
2443,Property Services,Final Site Clean Facility Construction Flightsafety International Inc General Contractor General Requirements
2444,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Principal Life Insurance Separate Account Ground Transportation Miscellaneous Company Car Field Only
2445,Passenger Road Transportation,Fox Pitt Kelton Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
2446,Property Services,Fall River Gas Store Management Real Estate Lease Rent Base Rent
2447,Labour,Badger Meter Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
2448,Advertising,Talent Artists Models for Trade Show SMAP Delmarva Power Light Events and Promotions Trade Show Expenses
2449,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
2450,Property Services,Real Estate Lease Rent Base Rent Bancwest Corp Store Management
2451,Property Services,General Contractor Store Construction General Requirements Final Site Clean Capital Southwest Corp
2452,Logistics,Alabama Power Supply Chain Logistics Transportation Services Freight Forwarders Services Other
2453,Labour,Contingent Labor Temp Labor Corporate Services Forchheimer Paul Inc Human Resources Contingent Labor Temp Labor
2454,Passenger Road Transportation,Miscellaneous Company Car Field Only Feb Travel and Entertainment Brother Industries Ltd Adr Ground Transportation Miscellaneous Company Car Field Only
2455,Advertising,Florida Public Utilities Prototype and Comp Production Packaging Design Artworking Typesetting SMAP Production
2456,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Metric Capital Corp Travel and Entertainment Miscellaneous Company Car Field Only
2457,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car Field Only
2458,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car Field Only
2459,Property Services,Lease Rent Real Estate Administrative Systems Inc Store Management Base Rent
2460,Property Services,Westford Group Inc Final Site Clean General Requirements General Contractor Store Construction
2461,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John Corporate Services
2462,Passenger Road Transportation,Brother Industries Ltd Adr Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
2463,Passenger Road Transportation,Corning Inc Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing
2464,Property Services,Store Construction General Requirements American Pad Paper General Contractor Final Site Clean
2465,Labour,Contingent Labor Temp Labor Corporate Services American Cattle Contingent Labor Temp Labor Human Resources
2466,Advertising,National Advertising Media Buy Traditional Magazines Giorgio Corp SMAP
2467,Passenger Road Transportation,Corning Inc Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing
2468,Property Services,General Contractor General Requirements Final Site Clean American Pad Paper Store Construction
2469,Property Services,Store Management Base Rent Real Estate Lease Rent First Lexington Capital Corp Adv
2470,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp
2471,Property Services,Store Management Base Rent Real Estate Lease Rent Burke Lawton Brewer Burke
2472,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Brother Industries Ltd Adr Jul Miscellaneous Company Car Field Only Ground Transportation
2473,Property Services,Final Site Clean Jan Store Construction American Pad Paper General Contractor General Requirements
2474,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Barnes Group Inc Travel and Entertainment Miscellaneous Company Car Field Only
2475,Human Resources,Human Resources Benefits Retirement and Pension Funds Essex Group Inc Corporate Services
2476,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Brother Industries Ltd Adr Ground Transportation Miscellaneous Company Car Field Only
2477,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car Field Only
2478,Advertising,Aquila Distributors Inc SMAP Production Artworking Typesetting Prototype and Comp Production Packaging Design
2479,Property Services,Facility Construction General Requirements Evans Inc General Contractor Final Site Clean
2480,Property Services,Store Management Lease Rent Fidelity Union Street Trust Real Estate Base Rent
2481,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fortune Natural Resources Corp
2482,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Akzo Nobel
2483,Passenger Road Transportation,Akzo Nobel Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2484,Property Services,Store Management Lease Rent Brt Apartments Corp Real Estate Base Rent
2485,Property Services,General Contractor General Requirements Final Site Clean Colonial Trust Iii Store Construction
2486,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Texas New Mexico Power
2487,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Corporate Services Other Corporate Services
2488,Property Services,Facility Construction General Requirements Flightsafety International Inc General Contractor Final Site Clean
2489,Property Services,Real Estate Store Management Lease Rent Base Rent Franks Nursery Crafts Inc
2490,Property Services,Colonial Trust Iii Final Site Clean Mar General Requirements General Contractor Store Construction
2491,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Brother Industries Ltd Adr Travel and Entertainment
2492,Advertising,Events and Promotions SMAP Trade Show Expenses Talent Artists Models for Trade Show Champion Industries Inc
2493,Property Services,General Contractor General Requirements Final Site Clean Dollar General Corp Store Construction
2494,Advertising,Digital Display SMAP Reunion Resources Digital Social Production
2495,Property Services,Store Management Base Rent Real Estate Lease Rent Canada Dry Bottling Florida Inc
2496,Property Services,Store Management Lease Rent Affiliated Computer Services Inc Real Estate Base Rent
2497,Labour,Corporate Services Contingent Labor Temp Labor Exotico Inc Human Resources Contingent Labor Temp Labor
2498,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Auto Leasing and Maintenance Other Corporate Services
2499,Labour,Contingent Labor Temp Labor Human Resources Detrex Corporation Corporate Services Contingent Labor Temp Labor
2500,Advertising,Printed Collateral Miscellaneous Printed Materials Miscellaneous Printed Materials Bestfoods SMAP
2501,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2502,Advertising,SMAP Artworking Typesetting Champion Parts Inc Production Prototype and Comp Production Packaging Design Aug
2503,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2504,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Brother Industries Ltd Adr Ground Transportation Miscellaneous Company Car Field Only
2505,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc Corporate Services
2506,Advertising,Magazines SMAP Consolidated Tomoka Land National Advertising Media Buy Traditional
2507,Labour,Butler National Corp Sep Corporate Services Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor
2508,Labour,Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor Chenaur Corp Corporate Services
2509,Passenger Road Transportation,May Dreyfus Money Market Instruments Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2510,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Other Corporate Services Corporate Services
2511,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc Other Corporate Services Auto Leasing
2512,Logistics,Supply Chain Transportation Services Bridges Investment Counsel Inc Adv Logistics Parcel Postage Courier
2513,Property Services,General Contractor Store Construction General Requirements Final Site Clean May Colonial Trust Iii
2514,Passenger Road Transportation,Chyron Corp Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
2515,Advertising,Messaging Media Buy SMAP Cominco Ltd Digital Paid Media Media Buy Mobile Mail Direct
2516,Human Resources,Essex Group Inc Retirement and Pension Funds Benefits Corporate Services Human Resources
2517,Advertising,SMAP Talent Artists Models for Trade Show Events and Promotions Trade Show Expenses Nov Excalibur Holdings Inc
2518,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
2519,Advertising,Miscellaneous Printed Materials SMAP Cameron Murphy Spangler Inc Miscellaneous Printed Materials Printed Collateral
2520,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Texas New Mexico Power
2521,Advertising,Outdoor Out Home Jul SMAP Ccom Group Inc National Advertising Media Buy Traditional
2522,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John Other Corporate Services Auto Leasing and Maintenance
2523,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fort Howard Corp
2524,Labour,Human Resources Corporate Services Contingent Labor Temp Labor Contingent Labor Temp Labor Communications Inc
2525,Labour,Flanigans Enterprises Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
2526,Property Services,Store Management Lease Rent Atlantic American Corp Real Estate Base Rent Feb
2527,Advertising,Blackburn Inc Magazines Media Buy Traditional SMAP National Advertising
2528,Advertising,Collins Llc SMAP National Advertising Media Buy Traditional Catalogue
2529,Property Services,Base Rent Store Management First National Nebraska Inc Lease Rent Real Estate
2530,Agency Fee,Other Agency Jan SMAP Charlotte Motor Speedway Inc Production Agency Fees Commissions
2531,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Brother Industries Ltd Adr Miscellaneous Company Car Field Only Ground Transportation
2532,Advertising,Associated Dry Goods Corp Qualified Magazines Media Buy Traditional SMAP National Advertising
2533,Agency Fee,SMAP Agency Fees Commissions Fcm Investment Services Inc Production Other Agency
2534,Labour,Comtech Telecommunications Corp Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
2535,Property Services,Final Site Clean Store Construction Bulova Corp General Requirements General Contractor
