,Category,Item_Description,Item_Description_PREPROCESSED
3158,Property Services,Apr 2002 Chase General Corp Base Rent Lease/Rent Store Management Real Estate,apr chase general corp base rent lease rent store management real estate
3159,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Metric Capital Corp                                     /Bd 2004-Jul  Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only metric capital corp travel and entertainment
3160,Human Resources,Retirement and Pension Funds Corporate Services Three Five Systems Inc 2006Apr Benefits Human Resources,retirement and pension funds corporate services three five systems inc benefits human resources
3161,Advertising,Aquila Distributors Inc                                 /Bd Prototype and Comp Production/Packaging Design Jul 2007 Artworking/Typesetting Production SMAP,aquila distributors inc prototype and comp production packaging design jul artworking typesetting production smap
3162,Property Services,"Lease/Rent Real Estate 2002May Cv Brokerage, Inc Store Management Base Rent",lease rent real estate brokerage inc store management base rent
3163,Passenger Road Transportation,Daly John J Auto Passenger Road Transportation Repair and Maintenance Dec-2016 Auto Leasing and Maintenance Other Corporate Services Corporate Services,daly john auto passenger road transportation repair and maintenance auto leasing and maintenance other corporate services corporate services
3164,Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Archon Inc Oct 2009 Corporate Services,human resources contingent labor temp labor contingent labor temp labor archon inc oct corporate services
3165,Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Jan-2010 Butler National Corp,corporate services contingent labor temp labor human resources contingent labor temp labor butler national corp
3166,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Ground Transportation Jun 2018 Fortune National Corp Travel and Entertainment Miscellaneous Company Car (Field Only),miscellaneous company car field only ground transportation jun fortune national corp travel and entertainment miscellaneous company car field only
3167,Property Services,American Home Assurance Co Final Site Clean Up Apr-2015 General Requirements General Contractor Store Construction,american home assurance final site clean general requirements general contractor store construction
3168,Advertising,"SMAP Talent, Artists & Models for Trade Show Events and Promotions Trade Show Expenses 2002Sep Dawson John & Associates Inc  /Il/",smap talent artists models for trade show events and promotions trade show expenses dawson john associates inc
3169,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc /Ny Apr 2015 Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services corning inc apr auto leasing and maintenance other corporate services
3170,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fortune National Corp Dec2004 Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only fortune national corp travel and entertainment
3171,Property Services,Store Management Base Rent Real Estate Lease/Rent Feb-2006 First Lexington Capital Corp                            /Adv,store management base rent real estate lease rent first lexington capital corp adv
3172,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) Oct-2009,travel and entertainment miscellaneous company car field only brother industries ltd adr ground transportation miscellaneous company car field only
3173,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc /Ny Jul2014 Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services corning inc auto leasing and maintenance other corporate services
3174,Property Services,2007-Jun  First National Of Nebraska Inc Base Rent Lease/Rent Store Management Real Estate,first national nebraska inc base rent lease rent store management real estate
3175,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Alza Corp Ground Transportation Miscellaneous Company Car (Field Only) 2010-May ,travel and entertainment miscellaneous company car field only alza corp ground transportation miscellaneous company car field only
3176,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fortune National Corp 2012Jul Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only fortune national corp travel and entertainment
3177,Property Services,Store Construction Final Site Clean Up General Contractor General Requirements Feb2019 Frozen Food Express Industries Inc,store construction final site clean general contractor general requirements frozen food express industries inc
3178,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance 2013Oct Corning Inc /Ny,corporate services auto leasing other corporate services auto leasing and maintenance corning inc
3179,Agency Fee,Production SMAP Agency Fees & Commissions 3 Other Agency Feb 2008 Coherent Inc,production smap agency fees commissions other agency feb coherent inc
3180,Passenger Road Transportation,Corning Inc /Ny Aug 2013 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,corning inc aug corporate services other corporate services auto leasing and maintenance auto leasing
3181,Property Services,Lease/Rent Real Estate 2013-Sep  Compudyne Corp Store Management Base Rent,lease rent real estate compudyne corp store management base rent
3182,Advertising,Entwistle Co Prototype and Comp Production/Packaging Design May 2007 Artworking/Typesetting Production SMAP,entwistle prototype and comp production packaging design may artworking typesetting production smap
3183,Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services Nov2018 Corning Inc /Ny Corporate Services Auto Leasing,auto leasing and maintenance other corporate services corning inc corporate services auto leasing
3184,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Akzo Nobel Nv 2014Jul Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only akzo nobel travel and entertainment
3185,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Dec-2018 Fort Howard Corp,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only fort howard corp
3186,Advertising,SMAP E-Messaging Media Buy Digital Paid Media Media Buy - Mobile or E-Mail Direct 2012Nov Apache Corp,smap messaging media buy digital paid media media buy mobile mail direct apache corp
3187,Advertising,Post Card/Mailer SMAP Federal Paper Board Co Inc 2001Jul Direct Mail Printed Collateral,post card mailer smap federal paper board inc direct mail printed collateral
3188,Property Services,Detrex Corporation Base Rent 2015-May  Lease/Rent Real Estate Store Management,detrex corporation base rent lease rent real estate store management
3189,Property Services,Facility Construction Final Site Clean Up General Contractor General Requirements Dec 2007 Flightsafety International Inc,facility construction final site clean general contractor general requirements dec flightsafety international inc
3190,Labour,Foodarama Supermarkets Inc Aug 2004 Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,foodarama supermarkets inc aug corporate services human resources contingent labor temp labor contingent labor temp labor
3191,Labour,Corporate Services Contingent Labor/Temp Labor Trustmark Corp Human Resources Contingent Labor/Temp Labor 2018Oct,corporate services contingent labor temp labor trustmark corp human resources contingent labor temp labor
3192,IT - Managed Services,IT Managed Services 2008-Apr  Information Technology Friedman Samuel Managed Services IT Managed Services,managed services information technology friedman samuel managed services managed services
3193,Logistics,Supply Chain Transportation Services Alabama Power Co Logistics Freight Forwarders Services Other May 2012,supply chain transportation services alabama power logistics freight forwarders services other may
3194,Agency Fee,Oct-2011 Ekco Group Inc /De/ Other Agency Agency Fees & Commissions 3 SMAP Production,ekco group inc other agency agency fees commissions smap production
3195,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) Nov-2002,travel and entertainment miscellaneous company car field only brother industries ltd adr ground transportation miscellaneous company car field only
3196,Agency Fee,SMAP Other Agency Production Agency Fees & Commissions 3 Oct 2004 Booz Allen & Hamilton Inc,smap other agency production agency fees commissions oct booz allen hamilton inc
3197,Property Services,Store Management Lease/Rent Dvorak Stephen Charles                                  /Bd Real Estate Base Rent Oct2004,store management lease rent dvorak stephen charles real estate base rent
3198,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Texas New Mexico Power Co May 2013 Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only texas new mexico power may travel and entertainment
3199,Advertising,"Talent, Artists & Models for Trade Show 2004-Jan  SMAP Copperweld Corp Events and Promotions Trade Show Expenses",talent artists models for trade show smap copperweld corp events and promotions trade show expenses
3200,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2013Jun Chyron Corp,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only chyron corp
3201,Property Services,Store Construction General Requirements Colonial Trust Iii General Contractor Final Site Clean Up 2008Nov,store construction general requirements colonial trust iii general contractor final site clean
3202,Advertising,"Benthos Inc 2009-Apr  SMAP Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show",benthos inc smap events and promotions trade show expenses talent artists models for trade show
3203,Labour,Corporate Services Contingent Labor/Temp Labor Aztec Manufacturing Co Human Resources Contingent Labor/Temp Labor 2010-Jul ,corporate services contingent labor temp labor aztec manufacturing human resources contingent labor temp labor
3204,Agency Fee,Nov 2005 Ceco Environmental Corp Public Relations Agency Agency Fees & Commissions SMAP Events and Promotions,nov ceco environmental corp public relations agency agency fees commissions smap events and promotions
3205,Property Services,Cna Income Shares Inc Base Rent 2003-Sep  Lease/Rent Real Estate Store Management,cna income shares inc base rent lease rent real estate store management
3206,Advertising,SMAP Outdoor/Out of Home National Advertising Media Buy - Traditional 2000-Jun  Advanced Digital Systems Inc,smap outdoor out home national advertising media buy traditional advanced digital systems inc
3207,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Fort Howard Corp Ground Transportation Miscellaneous Company Car (Field Only) 2015-Mar ,travel and entertainment miscellaneous company car field only fort howard corp ground transportation miscellaneous company car field only
3208,Property Services,Real Estate Lease/Rent Base Rent Bancwest Corp/Hi Dec-2001 Store Management,real estate lease rent base rent bancwest corp store management
3209,Passenger Road Transportation,Miscellaneous Company Car (Field Only) 2019Aug Travel and Entertainment Alco Standard Corp Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment alco standard corp ground transportation miscellaneous company car field only
3210,Property Services,Facility Management Lease/Rent First Horizon National Corp Real Estate Base Rent Feb-2001,facility management lease rent first horizon national corp real estate base rent
3211,Property Services,Store Management Lease/Rent Esterline Technologies Corp Real Estate Base Rent Nov2008,store management lease rent esterline technologies corp real estate base rent
3212,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Oct-2014 Daly John J,other corporate services corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance daly john
3213,Labour,Aerosonic Corp /Fl/ Contingent Labor/Temp Labor May 2015 Contingent Labor/Temp Labor Human Resources Corporate Services,aerosonic corp contingent labor temp labor may contingent labor temp labor human resources corporate services
3214,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Mar2005 Travel and Entertainment Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment brother industries ltd adr ground transportation miscellaneous company car field only
3215,Agency Fee,Other Agency 2005Oct SMAP Boeing Co Production Agency Fees & Commissions 3,other agency smap boeing production agency fees commissions
3216,Passenger Road Transportation,2014Apr Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,cooper laboratories inc stockholders liquidating trust miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
3217,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2011Aug Fortune National Corp,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only fortune national corp
3218,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing 2016Jul Corning Inc /Ny,other corporate services corporate services auto leasing and maintenance auto leasing corning inc
3219,Advertising,Digital Paid Media SMAP Media Buy - Mobile or E-Mail Direct E-Messaging Media Buy Mar 2016 Aristar Inc,digital paid media smap media buy mobile mail direct messaging media buy mar aristar inc
3220,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Akzo Nobel Nv Ground Transportation Miscellaneous Company Car (Field Only) 2015Sep,travel and entertainment miscellaneous company car field only akzo nobel ground transportation miscellaneous company car field only
3221,Labour,Forchheimer Paul L & Co Inc  /Bd/                     /B/Bd 2000-Feb  Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,forchheimer paul inc corporate services human resources contingent labor temp labor contingent labor temp labor
3222,Property Services,Base Rent Store Management Cna Income Shares Inc Aug2019 Lease/Rent Real Estate,base rent store management cna income shares inc lease rent real estate
3223,Passenger Road Transportation,Oct 2015 Corning Inc /Ny Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,oct corning inc auto leasing auto leasing and maintenance corporate services other corporate services
3224,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jan-2000 Alco Standard Corp,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only alco standard corp
3225,Property Services,Store Construction General Requirements Alexanders Inc General Contractor Final Site Clean Up 2011-Sep ,store construction general requirements alexanders inc general contractor final site clean
3226,Property Services,Aug-2013 Ddl Electronics Inc Base Rent Lease/Rent Store Management Real Estate,ddl electronics inc base rent lease rent store management real estate
3227,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Butler Manufacturing Co 2016-Aug  Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment butler manufacturing miscellaneous company car field only ground transportation
3228,Advertising,Beyer & Company Post Card/Mailer 2004-Jul  Direct Mail Printed Collateral SMAP,beyer company post card mailer direct mail printed collateral smap
3229,Property Services,General Requirements General Contractor 2013-Apr  Capital Southwest Corp Store Construction Final Site Clean Up,general requirements general contractor capital southwest corp store construction final site clean
3230,Passenger Road Transportation,Metric Capital Corp                                     /Bd Miscellaneous Company Car (Field Only) 2003Mar Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,metric capital corp miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
3231,Property Services,Real Estate Store Management Lease/Rent Base Rent Aug-2000 Artistic Greetings Inc,real estate store management lease rent base rent artistic greetings inc
3232,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Dec 2010 Rini Rego Supermarkets Inc,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only dec rini rego supermarkets inc
3233,Property Services,Final Site Clean Up 2019-Oct  Store Construction American Pad & Paper Co General Contractor General Requirements,final site clean store construction american pad paper general contractor general requirements
3234,Passenger Road Transportation,Fort Howard Corp Miscellaneous Company Car (Field Only) 2007Apr Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,fort howard corp miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
3235,Passenger Road Transportation,Miscellaneous Company Car (Field Only) 2004-Apr  Travel and Entertainment Texas New Mexico Power Co Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment texas new mexico power ground transportation miscellaneous company car field only
3236,Property Services,Base Rent 2018Aug Store Management Bethlehem Corp Real Estate Lease/Rent,base rent store management bethlehem corp real estate lease rent
3237,Property Services,General Requirements General Contractor Apr 2003 Dravo Corp Store Construction Final Site Clean Up,general requirements general contractor apr dravo corp store construction final site clean
3238,Property Services,Real Estate Store Management Lease/Rent Base Rent 2005Aug Acme Electric Corp,real estate store management lease rent base rent acme electric corp
3239,Advertising,Post Card/Mailer Mar2000 SMAP Connecticut Yankee Atomic Power Co Printed Collateral Direct Mail,post card mailer smap connecticut yankee atomic power printed collateral direct mail
3240,Human Resources,Workmen's Insurance Corporate Services Bates Charles Howard Sep2019 Workmen's Insurance Commercial Insurance,workmen insurance corporate services bates charles howard workmen insurance commercial insurance
3241,Property Services,Assuranceamerica Corp 2006Dec Store Construction General Contractor General Requirements Final Site Clean Up,assuranceamerica corp store construction general contractor general requirements final site clean
3242,Advertising,"Talent, Artists & Models for Trade Show SMAP Champion Industries Inc Oct2007 Trade Show Expenses Events and Promotions",talent artists models for trade show smap champion industries inc trade show expenses events and promotions
3243,Property Services,Colonial Trust Iii Final Site Clean Up Aug-2007 General Requirements General Contractor Store Construction,colonial trust iii final site clean general requirements general contractor store construction
3244,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Fort Howard Corp Ground Transportation Miscellaneous Company Car (Field Only) 2008-Nov ,travel and entertainment miscellaneous company car field only fort howard corp ground transportation miscellaneous company car field only
3245,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John J 2018Dec Auto Leasing and Maintenance Other Corporate Services,auto passenger road transportation repair and maintenance corporate services daly john auto leasing and maintenance other corporate services
3246,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Fort Howard Corp Jun 2005 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment fort howard corp jun miscellaneous company car field only ground transportation
3247,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Aug2012 Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only brother industries ltd adr travel and entertainment
3248,Property Services,Store Management Lease/Rent Aig Equity Sales Corp. Real Estate Base Rent 2013Jun,store management lease rent aig equity sales corp real estate base rent
3249,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Ground Transportation Feb2013 Fortune Natural Resources Corp Travel and Entertainment Miscellaneous Company Car (Field Only),miscellaneous company car field only ground transportation fortune natural resources corp travel and entertainment miscellaneous company car field only
3250,Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Jan 2018 Chubb Corp,general contractor store construction general requirements final site clean jan chubb corp
3251,Agency Fee,Duplan Corp Stock Option Plans Other Agency Jun 2014 Agency Fees & Commissions 3 Production SMAP,duplan corp stock option plans other agency jun agency fees commissions production smap
3252,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Ground Transportation 2005-Mar  Camelot Corp Travel and Entertainment Miscellaneous Company Car (Field Only),miscellaneous company car field only ground transportation camelot corp travel and entertainment miscellaneous company car field only
3253,Agency Fee,Other Agency 2019Jan SMAP Boeing Co Production Agency Fees & Commissions 3,other agency smap boeing production agency fees commissions
3254,Property Services,Arabian American Development Co Final Site Clean Up Jul 2011 General Requirements General Contractor Store Construction,arabian american development final site clean jul general requirements general contractor store construction
3255,Logistics,Alabama Power Co Freight Forwarders Services Other Sep 2014 Transportation Services Logistics Supply Chain,alabama power freight forwarders services other sep transportation services logistics supply chain
3256,Advertising,Prototype and Comp Production/Packaging Design SMAP Aquila Distributors Inc                                 /Bd 2001-Jan  Artworking/Typesetting Production,prototype and comp production packaging design smap aquila distributors inc artworking typesetting production
3257,Advertising,SMAP E-Messaging Media Buy Digital Paid Media Media Buy - Mobile or E-Mail Direct Jul2008 Boonton Electronics Corp,smap messaging media buy digital paid media media buy mobile mail direct boonton electronics corp
3258,Advertising,Sep 2013 Aquila Distributors Inc                                 /Bd Prototype and Comp Production/Packaging Design Artworking/Typesetting SMAP Production,sep aquila distributors inc prototype and comp production packaging design artworking typesetting smap production
3259,Agency Fee,Adage Inc 2013Sep SMAP Production Agency Fees & Commissions 3 Other Agency,adage inc smap production agency fees commissions other agency
3260,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2006Jun Cooper Laboratories Inc Stockholders Liquidating Trust,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only cooper laboratories inc stockholders liquidating trust
3261,Advertising,Prototype and Comp Production/Packaging Design SMAP Electro Catheter Corp Apr 2009 Artworking/Typesetting Production,prototype and comp production packaging design smap electro catheter corp apr artworking typesetting production
3262,Property Services,Banc One Corp /Oh/ Final Site Clean Up Jan 2014 General Requirements General Contractor Store Construction,banc one corp final site clean jan general requirements general contractor store construction
3263,Property Services,"Kcci, Ltd. Aug 2012 Store Construction General Contractor General Requirements Final Site Clean Up",kcci ltd aug store construction general contractor general requirements final site clean
3264,Property Services,Real Estate Lease/Rent Base Rent Action Industries Inc 2013Feb Store Management,real estate lease rent base rent action industries inc store management
3265,Passenger Road Transportation,Jan-2011 Texas New Mexico Power Co Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,texas new mexico power miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
3266,Property Services,Base Rent May2016 Store Management Compuserve Corp Real Estate Lease/Rent,base rent store management compuserve corp real estate lease rent
3267,Property Services,Base Rent Store Management Ddl Electronics Inc Jan 2000 Lease/Rent Real Estate,base rent store management ddl electronics inc jan lease rent real estate
3268,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Fort Howard Corp 2013-Apr  Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment fort howard corp miscellaneous company car field only ground transportation
3269,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Mar2003 Corning Inc /Ny,corporate services auto leasing other corporate services auto leasing and maintenance corning inc
3270,Property Services,Base Rent Store Management Abraham & Co Inc                                        /Bd Sep2012 Lease/Rent Real Estate,base rent store management abraham inc lease rent real estate
3271,Property Services,General Contractor General Requirements Final Site Clean Up Atchison Topeka & Santa Fe Railway Co Apr 2000 Store Construction,general contractor general requirements final site clean atchison topeka santa railway apr store construction
3272,Agency Fee,Events and Promotions Agency Fees & Commissions Public Relations Agency Grossmans Inc 2017-May  SMAP,events and promotions agency fees commissions public relations agency grossmans inc smap
3273,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Air Products & Chemicals Inc /De/ 2007-Feb  Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only air products chemicals inc travel and entertainment
3274,Property Services,Final Site Clean Up Oct2005 Facility Construction Allcity Insurance Co /Ny/ General Contractor General Requirements,final site clean facility construction allcity insurance general contractor general requirements
3275,Logistics,Freight Forwarders Services Other Supply Chain Alabama Power Co Sep-2016 Transportation Services Logistics,freight forwarders services other supply chain alabama power transportation services logistics
3276,Property Services,Store Management Lease/Rent Keystone Liquid Trust Real Estate Base Rent Sep-2006,store management lease rent keystone liquid trust real estate base rent
3277,Labour,Contingent Labor/Temp Labor Human Resources 2018Nov Engel John William                                      /Bd Corporate Services Contingent Labor/Temp Labor,contingent labor temp labor human resources engel john william corporate services contingent labor temp labor
3278,Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Jan-2003 Colonial Trust Iii,general contractor store construction general requirements final site clean colonial trust iii
3279,Property Services,Final Site Clean Up Store Construction American Pad & Paper Co Aug2017 General Requirements General Contractor,final site clean store construction american pad paper general requirements general contractor
3280,Labour,Contingent Labor/Temp Labor Human Resources 2006Apr All-Comm Media Corp Corporate Services Contingent Labor/Temp Labor,contingent labor temp labor human resources all comm media corp corporate services contingent labor temp labor
3281,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jan2008 Butler Manufacturing Co,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only butler manufacturing
3282,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2016Sep Allison M E & Co Inc/Tx                                 /Bd,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only allison inc
3283,Labour,2010-Sep  American Crystal Sugar Co /Mn/ Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,american crystal sugar contingent labor temp labor contingent labor temp labor corporate services human resources
3284,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Texas New Mexico Power Co 2005-Oct  Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only texas new mexico power travel and entertainment
3285,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only) Sep-2009,travel and entertainment miscellaneous company car field only cooper laboratories inc stockholders liquidating trust ground transportation miscellaneous company car field only
3286,Logistics,Transportation Services Logistics Feb2008 Alabama Power Co Supply Chain Freight Forwarders Services Other,transportation services logistics alabama power supply chain freight forwarders services other
3287,Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2010Mar Dayton Power & Light Co,general contractor store construction general requirements final site clean dayton power light
3288,Advertising,Prototype and Comp Production/Packaging Design 2002Jul SMAP Aquila Distributors Inc                                 /Bd Production Artworking/Typesetting,prototype and comp production packaging design smap aquila distributors inc production artworking typesetting
3289,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance 2009-Jul  Corporate Services Citistreet Advisors Llc                                 /Bd Other Corporate Services Auto Leasing and Maintenance,auto passenger road transportation repair and maintenance corporate services citistreet advisors llc other corporate services auto leasing and maintenance
3290,Property Services,Bancwest Corp/Hi Base Rent Jul2005 Lease/Rent Real Estate Store Management,bancwest corp base rent lease rent real estate store management
3291,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Nov2015 Brother Industries Ltd/Adr/,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only brother industries ltd adr
3292,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc /Ny Other Corporate Services Auto Leasing 2000-Jun ,corporate services auto leasing and maintenance corning inc other corporate services auto leasing
3293,Passenger Road Transportation,Corning Inc /Ny Jul 2004 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,corning inc jul corporate services other corporate services auto leasing and maintenance auto leasing
3294,Advertising,SMAP Magazines National Advertising Media Buy - Traditional Mar 2006 Casio Computer Co Ltd/Adr/,smap magazines national advertising media buy traditional mar casio computer ltd adr
3295,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Exchange Corp Ground Transportation Miscellaneous Company Car (Field Only) Oct2016,travel and entertainment miscellaneous company car field only exchange corp ground transportation miscellaneous company car field only
3296,Labour,Contingent Labor/Temp Labor Human Resources 2013-May  Cooper Industries Inc Corporate Services Contingent Labor/Temp Labor,contingent labor temp labor human resources cooper industries inc corporate services contingent labor temp labor
3297,Labour,Corporate Services Contingent Labor/Temp Labor Chenaur Corp Human Resources Contingent Labor/Temp Labor 2000Oct,corporate services contingent labor temp labor chenaur corp human resources contingent labor temp labor
3298,Property Services,American Pad & Paper Co Apr2019 Store Construction General Contractor General Requirements Final Site Clean Up,american pad paper store construction general contractor general requirements final site clean
3299,Advertising,Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Aquila Distributors Inc                                 /Bd 2010Apr SMAP,production artworking typesetting prototype and comp production packaging design aquila distributors inc smap
3300,Human Resources,Nov-2010 Essex Group Inc Retirement and Pension Funds Benefits Corporate Services Human Resources,essex group inc retirement and pension funds benefits corporate services human resources
3301,Property Services,American Pad & Paper Co Final Site Clean Up Oct2013 General Requirements General Contractor Store Construction,american pad paper final site clean general requirements general contractor store construction
3302,Passenger Road Transportation,Butler Manufacturing Co Nov2000 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,butler manufacturing corporate services other corporate services auto leasing and maintenance auto leasing
3303,Agency Fee,"Sep2010 Ccom Group, Inc. Other Agency Agency Fees & Commissions 3 SMAP Production",ccom group inc other agency agency fees commissions smap production
3304,Passenger Road Transportation,Akzo Nobel Nv Miscellaneous Company Car (Field Only) 2014-Dec  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,akzo nobel miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
3305,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fortune National Corp 2018-Nov  Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only fortune national corp travel and entertainment
3306,Property Services,General Contractor General Requirements Final Site Clean Up Ealing Corp Sep-2001 Store Construction,general contractor general requirements final site clean ealing corp store construction
