Category,Item_Description,Item_Description_PREPROCESSED
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Mar-2011 Airborne Freight Corp /De/,travel and entertainment company car field only ground transportation company car field only airborne freight corp
Passenger Road Transportation,Jul2018 Akzo Nobel Nv Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,akzo nobel company car field only company car field only travel and entertainment ground transportation
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2012Jun Bromar Inc,general contractor store construction general requirements final site clean bromar inc
Advertising,Prototype and Comp Production/Packaging Design SMAP Electro Catheter Corp 2008-Sep  Artworking/Typesetting Production,prototype and comp production packaging design smap electro catheter corp artworking typesetting production
Property Services,Final Site Clean Up Jul-2000 Store Construction American Pad & Paper Co General Contractor General Requirements,final site clean store construction american pad paper general contractor general requirements
Advertising,"SMAP Talent, Artists & Models for Trade Show Events and Promotions Trade Show Expenses Nov2000 Benthos Inc",smap talent artists models for trade show events and promotions trade show expenses benthos inc
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Burtschy Lawrence Robert /Adv Feb2001 Travel and Entertainment,ground transportation company car field only company car field only burtschy lawrence robert adv travel and entertainment
Property Services,Nov2009 Colonial Trust Iii Final Site Clean Up General Requirements Store Construction General Contractor,colonial trust iii final site clean general requirements store construction general contractor
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Oct 2007 Metric Capital Corp                                     /Bd,ground transportation travel and entertainment company car field only company car field only oct metric capital corp
Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance 2017-Sep  Corporate Services Cascade Corp Other Corporate Services Auto Leasing and Maintenance,auto passenger road transportation repair and maintenance corporate services cascade corp other corporate services auto leasing and maintenance
Property Services,Final Site Clean Up Store Construction American Pad & Paper Co Nov 2009 General Requirements General Contractor,final site clean store construction american pad paper nov general requirements general contractor
Property Services,Real Estate Lease/Rent Base Rent Continental Conveyor & Equipment Co Apr2017 Store Management,real estate lease rent base rent continental conveyor equipment store management
Labour,Corporate Services Contingent Labor/Temp Labor American Cattle Co Human Resources Contingent Labor/Temp Labor 2008-Sep ,corporate services contingent labor temp labor american cattle human resources contingent labor temp labor
Property Services,American Pad & Paper Co Final Site Clean Up Jan2017 General Requirements General Contractor Store Construction,american pad paper final site clean general requirements general contractor store construction
Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc /Ny May 2010 Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services corning inc may auto leasing and maintenance other corporate services
Passenger Road Transportation,Corning Inc /Ny Auto Leasing 2010-Feb  Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Jul 2007 Cooper Laboratories Inc Stockholders Liquidating Trust,ground transportation travel and entertainment company car field only company car field only jul cooper laboratories inc stockholders liquidating trust
Labour,Central Vermont Public Service Corp Contingent Labor/Temp Labor Jun 2000 Contingent Labor/Temp Labor Human Resources Corporate Services,central vermont public service corp contingent labor temp labor jun contingent labor temp labor human resources corporate services
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Brother Industries Ltd/Adr/ 2019-Dec  Travel and Entertainment,ground transportation company car field only company car field only brother industries ltd adr travel and entertainment
Passenger Road Transportation,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance 2007Dec Daly John J,corporate services auto passenger road transportation repair and maintenance other corporate services auto leasing and maintenance daly john
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Daly John J Ground Transportation Company Car (Field Only) May2009,travel and entertainment company car field only daly john ground transportation company car field only
Property Services,Store Management Lease/Rent Advance Ross Corp Real Estate Base Rent 2011-Sep ,store management lease rent advance ross corp real estate base rent
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Oct-2014 Texas New Mexico Power Co,ground transportation travel and entertainment company car field only company car field only texas new mexico power
Property Services,Final Site Clean Up Jun2009 Store Construction Ealing Corp General Contractor General Requirements,final site clean store construction ealing corp general contractor general requirements
Passenger Road Transportation,Daly John J Auto Passenger Road Transportation Repair and Maintenance Feb 2017 Auto Leasing and Maintenance Other Corporate Services Corporate Services,daly john auto passenger road transportation repair and maintenance feb auto leasing and maintenance other corporate services corporate services
Property Services,Base Rent Aug2005 Store Management Bailard Biehl & Kaiser Inc                              /Adv Real Estate Lease/Rent,base rent store management bailard biehl kaiser inc adv real estate lease rent
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Akzo Nobel Nv 2019-Oct  Travel and Entertainment,ground transportation company car field only company car field only akzo nobel travel and entertainment
Property Services,Store Construction General Requirements Cdi Corp General Contractor Final Site Clean Up 2004Jul,store construction general requirements cdi corp general contractor final site clean
Agency Fee,O&Y Properties Corp Search Agency Mar-2012 Agency Fees & Commissions 3 Production SMAP,properties corp search agency agency fees commissions production smap
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Sep-2000 Daly John J,other corporate services corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance daly john
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Akorn Inc Oct2010 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment akorn inc company car field only ground transportation
Property Services,Base Rent Store Management Franks Nursery & Crafts Inc 2004Mar Lease/Rent Real Estate,base rent store management franks nursery crafts inc lease rent real estate
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Company Car (Field Only) Aug2019,travel and entertainment company car field only cooper laboratories inc stockholders liquidating trust ground transportation company car field only
Advertising,Printed Collateral Direct Mail Post Card/Mailer First Mortgage Corp /Ut/ Aug 2002 SMAP,printed collateral direct mail post card mailer first mortgage corp aug smap
Passenger Road Transportation,Fort Howard Corp Company Car (Field Only) Jun-2004 Company Car (Field Only) Ground Transportation Travel and Entertainment,fort howard corp company car field only company car field only ground transportation travel and entertainment
Property Services,Store Management Lease/Rent Keller Bruce /Adv Real Estate Base Rent 2012Dec,store management lease rent keller bruce adv real estate base rent
Advertising,"Catalogue 2009Sep SMAP Cv Brokerage, Inc National Advertising Media Buy - Traditional",catalogue smap brokerage inc national advertising media buy traditional
Passenger Road Transportation,Apr 2002 Corning Inc /Ny Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,apr corning inc auto leasing auto leasing and maintenance corporate services other corporate services
Labour,Dec2007 Exotico Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,exotico inc contingent labor temp labor contingent labor temp labor corporate services human resources
Advertising,"SMAP Magazines National Advertising Media Buy - Traditional Oct2014 Crowell, Weedon & Co.",smap magazines national advertising media buy traditional crowell weedon
Passenger Road Transportation,May-2010 Brother Industries Ltd/Adr/ Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,brother industries ltd adr company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc /Ny 2003-Dec  Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services corning inc auto leasing and maintenance other corporate services
Consulting,Audit & Risk Consulting Corporate Services Avalon Corp 2019Feb Finance Consulting Consulting,audit risk consulting corporate services avalon corp finance consulting consulting
Property Services,Dec-2017 Dravo Corp Final Site Clean Up General Requirements Store Construction General Contractor,dravo corp final site clean general requirements store construction general contractor
Passenger Road Transportation,Sep-2013 Chyron Corp Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,chyron corp company car field only company car field only travel and entertainment ground transportation
Agency Fee,Agency Fees & Commissions 3 Production 2002-Sep  Charlotte Motor Speedway Inc SMAP Other Agency,agency fees commissions production charlotte motor speedway inc smap other agency
Agency Fee,Public Relations Agency 2017-Mar  SMAP Alleco Inc Events and Promotions Agency Fees & Commissions,public relations agency smap alleco inc events and promotions agency fees commissions
Advertising,Chem Nut Inc Outdoor/Out of Home 2001-Oct  Media Buy - Traditional National Advertising SMAP,chem nut inc outdoor out home media buy traditional national advertising smap
Property Services,General Contractor General Requirements Final Site Clean Up Central Coal & Coke Corp 2004-Dec  Store Construction,general contractor general requirements final site clean central coal coke corp store construction
Property Services,Store Management Base Rent Real Estate Lease/Rent Dec2006 Fort Howard Corp,store management base rent real estate lease rent fort howard corp
Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services 2019Nov Corning Inc /Ny Corporate Services Auto Leasing,auto leasing and maintenance other corporate services corning inc corporate services auto leasing
Property Services,Apr2005 California Real Estate Investment Trust Base Rent Lease/Rent Store Management Real Estate,california real estate investment trust base rent lease rent store management real estate
Advertising,Electro Catheter Corp Prototype and Comp Production/Packaging Design 2002-May  Artworking/Typesetting Production SMAP,electro catheter corp prototype and comp production packaging design artworking typesetting production smap
Property Services,Ealing Corp Jun2004 Store Construction General Contractor General Requirements Final Site Clean Up,ealing corp store construction general contractor general requirements final site clean
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) 2008Jan Fortune National Corp,travel and entertainment company car field only ground transportation company car field only fortune national corp
Passenger Road Transportation,Butler Manufacturing Co Aug-2018 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,butler manufacturing corporate services other corporate services auto leasing and maintenance auto leasing
Logistics,Logistics Transportation Services Freight Forwarders Services Other Alabama Power Co 2006-Jan  Supply Chain,logistics transportation services freight forwarders services other alabama power supply chain
Property Services,General Contractor General Requirements Final Site Clean Up Allegheny & Western Railway Co Apr-2005 Store Construction,general contractor general requirements final site clean allegheny western railway store construction
Passenger Road Transportation,Akzo Nobel Nv Company Car (Field Only) 2005-Nov  Company Car (Field Only) Ground Transportation Travel and Entertainment,akzo nobel company car field only company car field only ground transportation travel and entertainment
Advertising,Entwistle Co Prototype and Comp Production/Packaging Design Jan2011 Artworking/Typesetting Production SMAP,entwistle prototype and comp production packaging design artworking typesetting production smap
Passenger Road Transportation,Brother Industries Ltd/Adr/ 2006-Jan  Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),brother industries ltd adr travel and entertainment ground transportation company car field only company car field only
Property Services,Final Site Clean Up Apr 2001 Store Construction Colonial Trust Iii General Contractor General Requirements,final site clean apr store construction colonial trust iii general contractor general requirements
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) 2006May Fortune Natural Resources Corp,ground transportation travel and entertainment company car field only company car field only fortune natural resources corp
Labour,Contingent Labor/Temp Labor May-2010 Corporate Services Falcon Products Inc /De/ Human Resources Contingent Labor/Temp Labor,contingent labor temp labor corporate services falcon products inc human resources contingent labor temp labor
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing 2009May Corning Inc /Ny,other corporate services corporate services auto leasing and maintenance auto leasing corning inc
Logistics,Logistics Supply Chain Transportation Services Freight Forwarders Services Other 2015-Mar  Alabama Power Co,logistics supply chain transportation services freight forwarders services other alabama power
Property Services,General Contractor General Requirements Final Site Clean Up Engex Inc Dec2005 Store Construction,general contractor general requirements final site clean engex inc store construction
Labour,Human Resources Corporate Services Contingent Labor/Temp Labor Contingent Labor/Temp Labor 2002Jul Alco Standard Corp,human resources corporate services contingent labor temp labor contingent labor temp labor alco standard corp
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Feb2016 Butler Manufacturing Co,travel and entertainment company car field only ground transportation company car field only butler manufacturing
Property Services,Anacomp Inc May-2012 Store Management Real Estate Lease/Rent Base Rent,anacomp inc store management real estate lease rent base rent
Passenger Road Transportation,Company Car (Field Only) Feb-2012 Travel and Entertainment Akzo Nobel Nv Ground Transportation Company Car (Field Only),company car field only travel and entertainment akzo nobel ground transportation company car field only
Property Services,Real Estate Store Management Lease/Rent Base Rent Sep-2008 Amcast Industrial Corp,real estate store management lease rent base rent amcast industrial corp
Property Services,Astronics Corp Base Rent 2004Feb Lease/Rent Real Estate Store Management,astronics corp base rent lease rent real estate store management
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance 2012Feb Daly John J,other corporate services corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance daly john
Property Services,Lubys Cafeterias Inc Base Rent Oct 2011 Lease/Rent Real Estate Store Management,lubys cafeterias inc base rent oct lease rent real estate store management
Property Services,General Requirements General Contractor Dec 2013 Colonial Trust Iii Store Construction Final Site Clean Up,general requirements general contractor dec colonial trust iii store construction final site clean
Agency Fee,2003Dec Acme Electric Corp Employee Stock Purchase Plan Search Agency Agency Fees & Commissions 3 SMAP Production,acme electric corp employee stock purchase plan search agency agency fees commissions smap production
Property Services,Lease/Rent Real Estate Jun 2017 Boston Edison Co Store Management Base Rent,lease rent real estate jun boston edison store management base rent
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Brother Industries Ltd/Adr/ May2016 Travel and Entertainment,ground transportation company car field only company car field only brother industries ltd adr travel and entertainment
Property Services,Store Management Lease/Rent Fidelity Devonshire Trust Real Estate Base Rent Jun2000,store management lease rent fidelity devonshire trust real estate base rent
Passenger Road Transportation,Corning Inc /Ny Auto Leasing 2018Oct Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
Passenger Road Transportation,Company Car (Field Only) Ground Transportation 2001Jan Fort Howard Corp Travel and Entertainment Company Car (Field Only),company car field only ground transportation fort howard corp travel and entertainment company car field only
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Sep2012 Akorn Inc,travel and entertainment company car field only ground transportation company car field only akorn inc
Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Nov2009 Chenaur Corp,corporate services contingent labor temp labor human resources contingent labor temp labor chenaur corp
Passenger Road Transportation,Corning Inc /Ny Auto Leasing Mar 2013 Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing mar auto leasing and maintenance other corporate services corporate services
Property Services,Real Estate Lease/Rent Base Rent Allegheny Energy Inc Oct 2016 Store Management,real estate lease rent base rent allegheny energy inc oct store management
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) May 2017 Brother Industries Ltd/Adr/,ground transportation travel and entertainment company car field only company car field only may brother industries ltd adr
Property Services,Store Management Base Rent Real Estate Lease/Rent Apr 2004 Ddl Electronics Inc,store management base rent real estate lease rent apr ddl electronics inc
Advertising,Aquila Distributors Inc                                 /Bd 2001-Jun  SMAP Production Artworking/Typesetting Prototype and Comp Production/Packaging Design,aquila distributors inc smap production artworking typesetting prototype and comp production packaging design
Property Services,Erly Industries Inc Final Site Clean Up 2012Nov General Requirements General Contractor Store Construction,erly industries inc final site clean general requirements general contractor store construction
Property Services,Jul2012 Erly Industries Inc Final Site Clean Up General Requirements Store Construction General Contractor,erly industries inc final site clean general requirements store construction general contractor
Logistics,Transportation Services Logistics Jun 2010 Bandag Inc Supply Chain Freight Forwarders Services Other,transportation services logistics jun bandag inc supply chain freight forwarders services other
Advertising,Printed Collateral Printed Materials Printed Materials Bell Atlantic West Virginia Inc / Nov-2012 SMAP,printed collateral printed materials printed materials bell atlantic west virginia inc smap
Passenger Road Transportation,Company Car (Field Only) Ground Transportation 2005Mar Akzo Nobel Nv Travel and Entertainment Company Car (Field Only),company car field only ground transportation akzo nobel travel and entertainment company car field only
Passenger Road Transportation,Company Car (Field Only) Ground Transportation Dec2011 Alza Corp Travel and Entertainment Company Car (Field Only),company car field only ground transportation alza corp travel and entertainment company car field only
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Mar 2007 Butler Manufacturing Co,ground transportation travel and entertainment company car field only company car field only mar butler manufacturing
Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny Aug 2012 Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc aug corporate services
Property Services,Final Site Clean Up Store Construction American Pad & Paper Co Sep2004 General Requirements General Contractor,final site clean store construction american pad paper general requirements general contractor
Property Services,Store Management Base Rent Real Estate Lease/Rent 2016-Sep  Stratton Monthly Dividend Reit Shares Inc,store management base rent real estate lease rent stratton monthly dividend reit shares inc
Labour,"Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor 2006-Aug  Amhn, Inc.",corporate services contingent labor temp labor human resources contingent labor temp labor amhn inc
Passenger Road Transportation,Auto Leasing 2017-May  Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services corning inc other corporate services auto leasing and maintenance
Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Daly John J Other Corporate Services Auto Passenger Road Transportation Repair and Maintenance Dec-2002,corporate services auto leasing and maintenance daly john other corporate services auto passenger road transportation repair and maintenance
Passenger Road Transportation,First United Corp Company Car (Field Only) 2006Sep Company Car (Field Only) Ground Transportation Travel and Entertainment,first united corp company car field only company car field only ground transportation travel and entertainment
Property Services,"Final Site Clean Up Store Construction Stuart Frankel & Co., Incorporated 2008Dec General Requirements General Contractor",final site clean store construction stuart frankel incorporated general requirements general contractor
Advertising,E-Messaging Media Buy Dec2000 SMAP Aristar Inc Digital Paid Media Media Buy - Mobile or E-Mail Direct,messaging media buy smap aristar inc digital paid media media buy mobile mail direct
Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc /Ny Nov2013 Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services corning inc auto leasing and maintenance other corporate services
Property Services,2016May Capital Southwest Corp Final Site Clean Up General Requirements Store Construction General Contractor,capital southwest corp final site clean general requirements store construction general contractor
Property Services,Store Fixtures 2014-Jun  Store Construction Bemis Co Inc Fixtures Store Fixtures,store fixtures store construction bemis inc fixtures store fixtures
Property Services,"General Requirements General Contractor Oct-2013 R. W. Ellwood & Co., Inc. Store Construction Final Site Clean Up",general requirements general contractor ellwood inc store construction final site clean
Property Services,Base Rent Jan-2005 Store Management Ct Communications Inc /Nc Real Estate Lease/Rent,base rent store management communications inc real estate lease rent
Passenger Road Transportation,Dec-2003 Daly John J Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Corporate Services Other Corporate Services,daly john auto passenger road transportation repair and maintenance auto leasing and maintenance corporate services other corporate services
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Brother Industries Ltd/Adr/ Mar2005 Travel and Entertainment,ground transportation company car field only company car field only brother industries ltd adr travel and entertainment
Passenger Road Transportation,Fortune National Corp Company Car (Field Only) Jan2001 Company Car (Field Only) Ground Transportation Travel and Entertainment,fortune national corp company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,Cooper Laboratories Inc Stockholders Liquidating Trust Company Car (Field Only) 2009Sep Company Car (Field Only) Ground Transportation Travel and Entertainment,cooper laboratories inc stockholders liquidating trust company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,Company Car (Field Only) Ground Transportation Jun-2013 Cooper Laboratories Inc Stockholders Liquidating Trust Travel and Entertainment Company Car (Field Only),company car field only ground transportation cooper laboratories inc stockholders liquidating trust travel and entertainment company car field only
Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Computer Identics Corp /Ma/ Mar-2017 Corporate Services,human resources contingent labor temp labor contingent labor temp labor computer identics corp corporate services
Passenger Road Transportation,Dec2003 Fortune National Corp Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,fortune national corp company car field only company car field only travel and entertainment ground transportation
Advertising,Magazines SMAP Blackburn & Co Inc                                      /Bd Nov 2016 Media Buy - Traditional National Advertising,magazines smap blackburn inc nov media buy traditional national advertising
Passenger Road Transportation,Jul-2019 Fortune National Corp Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,fortune national corp company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Fortune National Corp Feb 2005 Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),fortune national corp feb travel and entertainment ground transportation company car field only company car field only
Advertising,SMAP Digital Display Production Digital/Social Apr2004 Reunion Resources Co,smap digital display production digital social reunion resources
Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Ashland Inc Apr 2011 Corporate Services,human resources contingent labor temp labor contingent labor temp labor ashland inc apr corporate services
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Barnes Group Inc 2003Oct Company Car (Field Only) Ground Transportation,company car field only travel and entertainment barnes group inc company car field only ground transportation
Property Services,Final Site Clean Up Jul-2007 Store Construction D.A. Davidson & Co. General Contractor General Requirements,final site clean store construction davidson general contractor general requirements
Passenger Road Transportation,Akzo Nobel Nv Company Car (Field Only) Feb2004 Company Car (Field Only) Ground Transportation Travel and Entertainment,akzo nobel company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,Butler Manufacturing Co 2006-Dec  Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,butler manufacturing corporate services other corporate services auto leasing and maintenance auto leasing
Property Services,Store Construction General Requirements Electronic Data Systems Corp General Contractor Final Site Clean Up Mar-2007,store construction general requirements electronic data systems corp general contractor final site clean
Property Services,Base Rent 2007Jun Store Management Automation International Inc Real Estate Lease/Rent,base rent store management automation international inc real estate lease rent
Property Services,Real Estate Store Management Lease/Rent Base Rent Jul 2003 Ifrb Corp,real estate store management lease rent base rent jul ifrb corp
Property Services,Store Management Lease/Rent Drexler Technology Corp Real Estate Base Rent May 2001,store management lease rent drexler technology corp real estate base rent may
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust May2019 Travel and Entertainment,ground transportation company car field only company car field only cooper laboratories inc stockholders liquidating trust travel and entertainment
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements Apr 2016 Altoona & Logan Valley Electric Railway,store construction final site clean general contractor general requirements apr altoona logan valley electric railway
Property Services,2013Apr Fabri Centers Of America Inc Base Rent Lease/Rent Store Management Real Estate,fabri centers america inc base rent lease rent store management real estate
Property Services,Final Site Clean Up Store Construction Center Star Gold Mines Inc 2015Jul General Requirements General Contractor,final site clean store construction center star gold mines inc general requirements general contractor
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) 2016-Jul  Akzo Nobel Nv,travel and entertainment company car field only ground transportation company car field only akzo nobel
Labour,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Aztec Equities Corp Dec2001 Corporate Services,human resources contingent labor temp labor contingent labor temp labor aztec equities corp corporate services
Property Services,Beeson Thomas W Base Rent 2015Dec Lease/Rent Real Estate Store Management,beeson thomas base rent lease rent real estate store management
Advertising,Federal Paper Board Co Inc Feb-2014 SMAP Printed Collateral Direct Mail Post Card/Mailer,federal paper board inc smap printed collateral direct mail post card mailer
Property Services,"General Contractor General Requirements Final Site Clean Up D. L. Baker & Co., Incorporated 2000Nov Facility Construction",general contractor general requirements final site clean baker incorporated facility construction
Property Services,Dec-2006 American Pad & Paper Co Final Site Clean Up General Requirements Store Construction General Contractor,american pad paper final site clean general requirements store construction general contractor
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) 2006-Sep  Chyron Corp,ground transportation travel and entertainment company car field only company car field only chyron corp
Advertising,SMAP Media Buy - Mobile or E-Mail Direct Boston Co Inc Digital Paid Media E-Messaging Media Buy Mar-2018,smap media buy mobile mail direct boston inc digital paid media messaging media buy
Passenger Road Transportation,Auto Leasing 2014Feb Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services corning inc other corporate services auto leasing and maintenance
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) 2016Feb Butler National Corp,travel and entertainment company car field only ground transportation company car field only butler national corp
Logistics,Alabama Power Co Freight Forwarders Services Other 2006Sep Transportation Services Logistics Supply Chain,alabama power freight forwarders services other transportation services logistics supply chain
Passenger Road Transportation,Company Car (Field Only) Ground Transportation 2014Jun Brother Industries Ltd/Adr/ Travel and Entertainment Company Car (Field Only),company car field only ground transportation brother industries ltd adr travel and entertainment company car field only
Property Services,Store Management Lease/Rent Alliance Gaming Corp Real Estate Base Rent Dec2013,store management lease rent alliance gaming corp real estate base rent
Property Services,Base Rent 2016-Mar  Store Management Agl Separate Account A Real Estate Lease/Rent,base rent store management agl separate account real estate lease rent
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Jun-2003 Fortune National Corp,travel and entertainment company car field only ground transportation company car field only fortune national corp
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Jul 2010 Brother Industries Ltd/Adr/,travel and entertainment company car field only ground transportation company car field only jul brother industries ltd adr
Property Services,Fidelity Capital Investment Plans Base Rent Nov2016 Lease/Rent Real Estate Store Management,fidelity capital investment plans base rent lease rent real estate store management
Property Services,Facility Construction General Requirements Flightsafety International Inc General Contractor Final Site Clean Up 2014May,facility construction general requirements flightsafety international inc general contractor final site clean
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance May 2007 First Wilkow Venture,other corporate services corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance may first wilkow venture
Property Services,Final Site Clean Up Jun2012 Facility Construction Church Loans & Investments Trust General Contractor General Requirements,final site clean facility construction church loans investments trust general contractor general requirements
Passenger Road Transportation,Apr2014 Brother Industries Ltd/Adr/ Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,brother industries ltd adr company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Company Car (Field Only) Ground Transportation 2001-Jul  Airtex Products Inc Travel and Entertainment Company Car (Field Only),company car field only ground transportation airtex products inc travel and entertainment company car field only
Passenger Road Transportation,Company Car (Field Only) Dec2018 Travel and Entertainment Brother Industries Ltd/Adr/ Ground Transportation Company Car (Field Only),company car field only travel and entertainment brother industries ltd adr ground transportation company car field only
Property Services,Country Capital Management Company Final Site Clean Up Sep-2008 General Requirements General Contractor Store Construction,country capital management company final site clean general requirements general contractor store construction
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Dec 2007 Fortune National Corp,ground transportation travel and entertainment company car field only company car field only dec fortune national corp
Property Services,Lease/Rent Real Estate Aug-2004 Citizens Inc Store Management Base Rent,lease rent real estate citizens inc store management base rent
Human Resources,Human Resources Benefits Retirement and Pension Funds Essex Group Inc Dec2009 Corporate Services,human resources benefits retirement and pension funds essex group inc corporate services
Property Services,Bancwest Corp/Hi Base Rent Sep 2015 Lease/Rent Real Estate Store Management,bancwest corp base rent sep lease rent real estate store management
Advertising,Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Aquila Distributors Inc                                 /Bd Mar-2008 SMAP,production artworking typesetting prototype and comp production packaging design aquila distributors inc smap
Property Services,Colonial Trust Iii Final Site Clean Up 2012-Feb  General Requirements General Contractor Store Construction,colonial trust iii final site clean general requirements general contractor store construction
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Aug-2002 American Pad & Paper Co,general contractor store construction general requirements final site clean american pad paper
Property Services,Lease/Rent Real Estate Nov-2007 Amerace Corp 1967 Qual Stk Opt Pl & 1972 Qual-Non-Qual Stk O Store Management Base Rent,lease rent real estate amerace corp qual stk opt qual non qual stk store management base rent
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Daly John J Ground Transportation Company Car (Field Only) 2017-Jul ,travel and entertainment company car field only daly john ground transportation company car field only
