Category,Item_Description,UNSPSC_Segment_Code
Editorial and Design and Graphic and Fine Art Services,Other Agency SMAP Digital Equipment Corp Oct2011 Agency Fees & Commissions 3 Production,82000000
Transportation and Storage and Mail Services,Texas New Mexico Power Co Nov-2009 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Akorn Inc 2007-Sep  Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Editorial and Design and Graphic and Fine Art Services,SMAP Direct Mail Charter Communications Inc Printed Collateral Post Card/Mailer Jun 2008,82000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Ddl Electronics Inc Real Estate Base Rent Sep 2014,80000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Nov-2005 Baltek Corp,72000000
Management and Business Professionals and Administrative Services,"Talent, Artists & Models for Trade Show SMAP Dewey Electronics Corp Jun 2016 Trade Show Expenses Events and Promotions",80000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2014-Sep  Akzo Nobel Nv,78000000
Management and Business Professionals and Administrative Services,Ameristar International Holdings Corp Base Rent 2005-Mar  Lease/Rent Real Estate Store Management,80000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements 2014-Jan  Franklin Resources Inc,72000000
Editorial and Design and Graphic and Fine Art Services,SMAP Other Agency Production Agency Fees & Commissions 3 Nov2002 Coca Cola Co,82000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Dynamics Corp Of America Real Estate Base Rent Jun-2006,80000000
Editorial and Design and Graphic and Fine Art Services,Prototype and Comp Production/Packaging Design 2011Apr SMAP Electro Catheter Corp Production Artworking/Typesetting,82000000
Editorial and Design and Graphic and Fine Art Services,Prototype and Comp Production/Packaging Design Aug 2016 SMAP Electro Catheter Corp Production Artworking/Typesetting,82000000
Editorial and Design and Graphic and Fine Art Services,Artworking/Typesetting Production 2016-Oct  Aquila Distributors Inc                                 /Bd SMAP Prototype and Comp Production/Packaging Design,82000000
Management and Business Professionals and Administrative Services,"Talent, Artists & Models for Trade Show SMAP Delmarva Power & Light Co /De/ 2016Mar Trade Show Expenses Events and Promotions",80000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent Aug-2016 Fremont Corp,80000000
Editorial and Design and Graphic and Fine Art Services,Prototype and Comp Production/Packaging Design SMAP Aquila Distributors Inc                                 /Bd Jan-2016 Artworking/Typesetting Production,82000000
Transportation and Storage and Mail Services,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John J Mar 2007 Auto Leasing and Maintenance Other Corporate Services,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Feb2002 Brother Industries Ltd/Adr/,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Butler Manufacturing Co Nov-2005 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Camelot Corp 2007Nov Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements May 2003 Ealing Corp,72000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ 2014-Aug  Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,"Travel and Entertainment Miscellaneous Company Car (Field Only) Hornblower & Weeks, Inc. Ground Transportation Miscellaneous Company Car (Field Only) 2019May",78000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements 2007-Dec  Dravo Corp,72000000
Management and Business Professionals and Administrative Services,2010Aug First Republic Corp Of America Base Rent Lease/Rent Facility Management Real Estate,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Sep2009 Texas New Mexico Power Co,78000000
Transportation and Storage and Mail Services,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Sep-2010 Corning Inc /Ny,78000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent Dec2006 Apparel America Inc,80000000
Editorial and Design and Graphic and Fine Art Services,2015-Feb  Brundage Story & Rose Llc Miscellaneous Printed Materials Miscellaneous Printed Materials SMAP Printed Collateral,82000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2008-Aug  Akorn Inc,78000000
Building and Facility Construction and Maintenance Services,General Requirements General Contractor Dec 2009 Flightsafety International Inc Facility Construction Final Site Clean Up,72000000
Transportation and Storage and Mail Services,2013-Jan  Metric Capital Corp                                     /Bd Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Computer Data Systems Inc Contingent Labor/Temp Labor Nov2010 Contingent Labor/Temp Labor Human Resources Corporate Services,80000000
Building and Facility Construction and Maintenance Services,Fixtures Store Construction Store Fixtures Store Fixtures 2019Nov Bailard Biehl & Kaiser Inc                              /Adv,72000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2004-May  Metric Capital Corp                                     /Bd,78000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent Jul2006 Bancwest Corp/Hi,80000000
Editorial and Design and Graphic and Fine Art Services,Production SMAP Agency Fees & Commissions 3 Other Agency Nov2006 Central Bancorp Inc,82000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Alexanders Inc Feb 2010 Store Construction,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Alco Standard Corp May-2016 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Transportation and Storage and Mail Services,Jun 2001 Provident Companies Inc /De/ Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Editorial and Design and Graphic and Fine Art Services,Aquila Distributors Inc                                 /Bd Prototype and Comp Production/Packaging Design 2002-Apr  Artworking/Typesetting Production SMAP,82000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Sep-2004 Corning Inc /Ny,78000000
Transportation and Storage and Mail Services,Chyron Corp Miscellaneous Company Car (Field Only) 2010-May  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Management and Business Professionals and Administrative Services,Base Rent 2003-Mar  Store Management Aep Texas Central Co Real Estate Lease/Rent,80000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Feb 2010 American States Insurance Co,72000000
Editorial and Design and Graphic and Fine Art Services,Elizabethtown Water Co /Nj/ 2010-Jun  SMAP National Advertising Media Buy - Traditional Newspaper,82000000
Building and Facility Construction and Maintenance Services,General Requirements General Contractor 2005Jun Colonial Trust Iii Store Construction Final Site Clean Up,72000000
Building and Facility Construction and Maintenance Services,Store Construction General Requirements Bell Atlantic Pennsylvania Inc General Contractor Final Site Clean Up Aug2014,72000000
Building and Facility Construction and Maintenance Services,Store Fixtures Sep2001 Store Construction Durco International Inc Fixtures Store Fixtures,72000000
Management and Business Professionals and Administrative Services,2004Dec Caterpillar Inc Base Rent Lease/Rent Store Management Real Estate,80000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing and Maintenance Development Corp For Israel                             /Bd Other Corporate Services Auto Passenger Road Transportation Repair and Maintenance Jun2016,78000000
Editorial and Design and Graphic and Fine Art Services,Printed Collateral SMAP Direct Mail Post Card/Mailer Jan-2013 Connecticut Yankee Atomic Power Co,82000000
Editorial and Design and Graphic and Fine Art Services,Chem Nut Inc 2011Sep SMAP National Advertising Media Buy - Traditional Outdoor/Out of Home,82000000
Editorial and Design and Graphic and Fine Art Services,Printed Collateral SMAP Direct Mail Post Card/Mailer Jul 2018 Boston Co Inc,82000000
Financial and Insurance Services,Workmen's Insurance Dec 2006 Corporate Services Fpa Corp /De/ Commercial Insurance Workmen's Insurance,84000000
Transportation and Storage and Mail Services,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance 2010-Jan  Daly John J,78000000
Editorial and Design and Graphic and Fine Art Services,Datum Inc Paid Social - Content Production with Influencer Nov-2008 Media Buy - Social Digital Paid Media SMAP,82000000
Transportation and Storage and Mail Services,Alabama Power Co Freight Forwarders Services Other Jun-2000 Transportation Services Logistics Supply Chain,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation Mar 2016 Allis Chalmers Corp Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,Aug 2002 Feldt Manufacturing Co Inc Base Rent Lease/Rent Store Management Real Estate,80000000
Transportation and Storage and Mail Services,Supply Chain Parcel/Postage/Courier Logistics Transportation Services 2014-May  Associates Corporation Of North America,78000000
Transportation and Storage and Mail Services,Butler Manufacturing Co 2009Sep Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust 2015-Feb  Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Jun-2016 Corporate Services Chenaur Corp Human Resources Contingent Labor/Temp Labor,80000000
Building and Facility Construction and Maintenance Services,2000-Nov  Arabian American Development Co Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Editorial and Design and Graphic and Fine Art Services,SMAP Prototype and Comp Production/Packaging Design Production Artworking/Typesetting 2010Jul Champion Parts Inc,82000000
Editorial and Design and Graphic and Fine Art Services,National Advertising Media Buy - Traditional Outdoor/Out of Home Btr Realty Inc 2003-Sep  SMAP,82000000
Management and Business Professionals and Administrative Services,Base Rent Jun-2018 Store Management Chiksan Tool Co Real Estate Lease/Rent,80000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent Sep 2007 East Coast Electric Co,80000000
Building and Facility Construction and Maintenance Services,Colonial Trust Iii 2011Jun Store Construction General Contractor General Requirements Final Site Clean Up,72000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Anthony Industries Inc Real Estate Base Rent 2006-Apr ,80000000
Management and Business Professionals and Administrative Services,"SMAP Talent, Artists & Models for Trade Show Events and Promotions Trade Show Expenses 2018-Feb  Brown Stephen L",80000000
Transportation and Storage and Mail Services,"Bodell Overcash Anderson & Co., Inc. Dec-2014 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance",78000000
Editorial and Design and Graphic and Fine Art Services,Production Agency Fees & Commissions 3 Other Agency Afa Protective Systems Inc 2014Jun SMAP,82000000
Management and Business Professionals and Administrative Services,Base Rent Nov-2015 Store Management E Systems Inc Real Estate Lease/Rent,80000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ 2011-Nov  Travel and Entertainment,78000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Human Resources Dec 2013 Dart Group Corp Corporate Services Contingent Labor/Temp Labor,80000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Air Products & Chemicals Inc /De/ Mar-2019 Travel and Entertainment,78000000
Building and Facility Construction and Maintenance Services,Store Construction General Requirements Erly Industries Inc General Contractor Final Site Clean Up Jun2003,72000000
Editorial and Design and Graphic and Fine Art Services,2006Mar Electro Catheter Corp Prototype and Comp Production/Packaging Design Artworking/Typesetting SMAP Production,82000000
Editorial and Design and Graphic and Fine Art Services,Edison Sault Electric Co Aug-2010 SMAP Production Artworking/Typesetting Prototype and Comp Production/Packaging Design,82000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor 2018Nov Allied Farm Equipment Inc 1975 Qualified Stock Option Plan,80000000
Management and Business Professionals and Administrative Services,"Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show Dawson John & Associates Inc  /Il/ 2012Oct SMAP",80000000
Management and Business Professionals and Administrative Services,SMAP Agency Fees & Commissions Dr Pepper Co Events and Promotions Public Relations Agency Feb 2003,80000000
Editorial and Design and Graphic and Fine Art Services,SMAP Post Card/Mailer Printed Collateral Direct Mail Dec 2009 Bergen Brunswig Corp,82000000
Transportation and Storage and Mail Services,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John J Jan2015 Auto Leasing and Maintenance Other Corporate Services,78000000
Management and Business Professionals and Administrative Services,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Barrie Milton R Co Inc Apr2000 Corporate Services,80000000
Building and Facility Construction and Maintenance Services,American Pad & Paper Co 2018-Jan  Store Construction General Contractor General Requirements Final Site Clean Up,72000000
Management and Business Professionals and Administrative Services,Aug2009 Bancwest Corp/Hi Base Rent Lease/Rent Store Management Real Estate,80000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Nov 2010 Akorn Inc,78000000
Building and Facility Construction and Maintenance Services,"2007-Feb  Kcci, Ltd. Final Site Clean Up General Requirements Store Construction General Contractor",72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation Jan 2018 Brother Industries Ltd/Adr/ Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,Public Relations Agency SMAP Harris Investorline Inc. 2001-Oct  Agency Fees & Commissions Events and Promotions,80000000
Management and Business Professionals and Administrative Services,Feb-2001 Allegheny Energy Inc Base Rent Lease/Rent Store Management Real Estate,80000000
Management and Business Professionals and Administrative Services,"Talent, Artists & Models for Trade Show SMAP Alleco Inc Jan2016 Trade Show Expenses Events and Promotions",80000000
Editorial and Design and Graphic and Fine Art Services,SMAP Post Card/Mailer Printed Collateral Direct Mail Jan2017 Federal Paper Board Co Inc,82000000
Management and Business Professionals and Administrative Services,First Lexington Capital Corp                            /Adv Base Rent Apr-2017 Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Detrex Corporation Base Rent Feb2012 Lease/Rent Real Estate Store Management,80000000
Editorial and Design and Graphic and Fine Art Services,Sep2015 Btr Realty Inc Paid Social - Content Production with Influencer Media Buy - Social SMAP Digital Paid Media,82000000
Transportation and Storage and Mail Services,Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car (Field Only) Jan 2012 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Building and Facility Construction and Maintenance Services,2001-Nov  Frontier Planning Services Ltd                          /Bd Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Transportation and Storage and Mail Services,Auto Leasing Corporate Services Corning Inc /Ny Aug-2006 Auto Leasing and Maintenance Other Corporate Services,78000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent 2005-Aug  Bancwest Corp/Hi,80000000
Transportation and Storage and Mail Services,Alco Standard Corp Miscellaneous Company Car (Field Only) Oct-2008 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Jan 2008 Texas New Mexico Power Co,78000000
Management and Business Professionals and Administrative Services,Base Rent Facility Management First Horizon National Corp 2008Jun Lease/Rent Real Estate,80000000
Editorial and Design and Graphic and Fine Art Services,Media Buy - Traditional National Advertising 2012Mar Elgin National Industries Inc SMAP Magazines,82000000
Management and Business Professionals and Administrative Services,"2018-Oct  Dawson John & Associates Inc  /Il/ Talent, Artists & Models for Trade Show Trade Show Expenses SMAP Events and Promotions",80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Metric Capital Corp                                     /Bd Ground Transportation Miscellaneous Company Car (Field Only) Oct2019,78000000
Editorial and Design and Graphic and Fine Art Services,Chem Nut Inc Jul 2015 SMAP National Advertising Media Buy - Traditional Outdoor/Out of Home,82000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation 2012Aug Exchange Corp Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Sep2012 Corning Inc /Ny,78000000
Building and Facility Construction and Maintenance Services,Eastco Industrial Safety Corp Final Site Clean Up Mar 2018 General Requirements General Contractor Store Construction,72000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Ab Liquidating Corp Real Estate Base Rent 2008-Jan ,80000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Apr 2015 Cooper Laboratories Inc Stockholders Liquidating Trust,78000000
Transportation and Storage and Mail Services,Jul 2016 Fort Howard Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Management and Business Professionals and Administrative Services,"Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show Sprint Florida Inc Apr 2002 SMAP",80000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent 2000Jun Fidelity Capital Investment Plans,80000000
Building and Facility Construction and Maintenance Services,2016-Dec  Colonial Trust Iii Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) 2004-Feb ,78000000
Transportation and Storage and Mail Services,2010-Sep  Corning Inc /Ny Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,78000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Feldt Manufacturing Co Inc Sep-2017 Store Management,80000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up 2002-May  Colonial Trust Iii,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Sep-2000 Travel and Entertainment Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Alco Standard Corp Jun2013 Corporate Services,78000000
Management and Business Professionals and Administrative Services,E Systems Inc Base Rent Nov2019 Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Nov 2006 Engel John William                                      /Bd,80000000
Transportation and Storage and Mail Services,Logistics Supply Chain Transportation Services Parcel/Postage/Courier Nov2003 Corporate Bond Trust Series 5,78000000
Transportation and Storage and Mail Services,Jan 2002 Corporate Bond Trust Series 5 Parcel/Postage/Courier Transportation Services Supply Chain Logistics,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2016Aug Butler Manufacturing Co,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Oct-2018 Allis Chalmers Corp,78000000
Building and Facility Construction and Maintenance Services,"Store Construction General Requirements Boenning & Scattergood, Inc. General Contractor Final Site Clean Up Sep 2013",72000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) 2008Apr,78000000
Building and Facility Construction and Maintenance Services,General Requirements General Contractor Jan-2006 Ameron Inc Store Construction Final Site Clean Up,72000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Butler Manufacturing Co 2003-Sep  Travel and Entertainment,78000000
Building and Facility Construction and Maintenance Services,2013-Oct  Colonial Trust Iii Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Editorial and Design and Graphic and Fine Art Services,SMAP Prototype and Comp Production/Packaging Design Production Artworking/Typesetting Mar 2003 Champion Parts Inc,82000000
Transportation and Storage and Mail Services,Akzo Nobel Nv Jun 2017 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Auto Leasing Nov 2006 Corporate Services Butler Manufacturing Co Other Corporate Services Auto Leasing and Maintenance,78000000
Transportation and Storage and Mail Services,Apr 2000 Texas New Mexico Power Co Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Building and Facility Construction and Maintenance Services,Facility Construction Final Site Clean Up General Contractor General Requirements Apr-2013 Flightsafety International Inc,72000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up American Pad & Paper Co 2003-Aug  Store Construction,72000000
Editorial and Design and Graphic and Fine Art Services,Mar 2003 Frank Chappelle & Co Inc                                /Bd Magazines Media Buy - Traditional SMAP National Advertising,82000000
Transportation and Storage and Mail Services,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing 2010Jun Butler Manufacturing Co,78000000
Editorial and Design and Graphic and Fine Art Services,SMAP Media Buy - Traditional Blackburn & Co Inc                                      /Bd National Advertising Magazines Aug 2018,82000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Mar2000 Texas New Mexico Power Co,78000000
Building and Facility Construction and Maintenance Services,"Boenning & Scattergood, Inc. Final Site Clean Up Aug-2002 General Requirements General Contractor Store Construction",72000000
Editorial and Design and Graphic and Fine Art Services,Prototype and Comp Production/Packaging Design May-2012 SMAP Champion Parts Inc Production Artworking/Typesetting,82000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance May2007 Corning Inc /Ny,78000000
Transportation and Storage and Mail Services,Oct 2005 Corning Inc /Ny Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,78000000
Management and Business Professionals and Administrative Services,Base Rent Store Management First Washington Corporation Sep 2001 Lease/Rent Real Estate,80000000
Editorial and Design and Graphic and Fine Art Services,Miscellaneous Printed Materials Printed Collateral Feb-2019 Texas American Resources Inc SMAP Miscellaneous Printed Materials,82000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Apr-2006 American Pad & Paper Co,72000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fortune National Corp Dec 2011 Travel and Entertainment,78000000
Management and Business Professionals and Administrative Services,"Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show Dawson John & Associates Inc  /Il/ 2015-Dec  SMAP",80000000
,,
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) May2019 Provident Companies Inc /De/,78000000
Management and Business Professionals and Administrative Services,Feb2018 Ddl Electronics Inc Base Rent Lease/Rent Store Management Real Estate,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Akzo Nobel Nv Ground Transportation Miscellaneous Company Car (Field Only) 2003-Oct ,78000000
Transportation and Storage and Mail Services,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing 2013-Oct  Corning Inc /Ny,78000000
Editorial and Design and Graphic and Fine Art Services,Prototype and Comp Production/Packaging Design SMAP Florida Public Utilities Co Apr 2006 Artworking/Typesetting Production,82000000
Management and Business Professionals and Administrative Services,"SMAP Talent, Artists & Models for Trade Show Events and Promotions Trade Show Expenses 2018Jan Champion Industries Inc",80000000
Transportation and Storage and Mail Services,Auto Leasing Corporate Services Corning Inc /Ny 2013-Mar  Auto Leasing and Maintenance Other Corporate Services,78000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor 2003Aug Corporate Services World Wide Ltd Human Resources Contingent Labor/Temp Labor,80000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Colonial Trust Iii Feb-2004 Store Construction,72000000
Editorial and Design and Graphic and Fine Art Services,Digital Display SMAP Albertsons Inc /De/ May-2005 Digital/Social Production,82000000
Editorial and Design and Graphic and Fine Art Services,Charter Communications Inc 2012-Nov  SMAP Printed Collateral Direct Mail Post Card/Mailer,82000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Allegheny Energy Inc Real Estate Base Rent 2009Jul,80000000
Financial and Insurance Services,Corporate Services Workmen's Insurance Commercial Insurance Workmen's Insurance Mar-2006 Cooper Investment Co Inc                                /Bd,84000000
Transportation and Storage and Mail Services,Auto Leasing and Maintenance Other Corporate Services 2003Dec Corning Inc /Ny Corporate Services Auto Leasing,78000000
Transportation and Storage and Mail Services,Akzo Nobel Nv Miscellaneous Company Car (Field Only) 2010Dec Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent 2015-Oct  Bancwest Corp/Hi,80000000
Management and Business Professionals and Administrative Services,First Real Estate Investment Trust Of New Jersey 2005Sep Store Management Real Estate Lease/Rent Base Rent,80000000
Management and Business Professionals and Administrative Services,Argentina Republic Of 2014-Jul  Store Management Real Estate Lease/Rent Base Rent,80000000
Building and Facility Construction and Maintenance Services,"General Contractor General Requirements Final Site Clean Up China Changjiang Mining & New Energy Company, Ltd. 2006-May  Store Construction",72000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) Nov-2011,78000000
Management and Business Professionals and Administrative Services,Coeur D Alenes Co Mar2009 Store Management Real Estate Lease/Rent Base Rent,80000000
Management and Business Professionals and Administrative Services,First Union Corp Base Rent 2006-Oct  Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,"2010-Aug  Cv Brokerage, Inc Base Rent Lease/Rent Store Management Real Estate",80000000
Management and Business Professionals and Administrative Services,"Alcoa Inc. Talent, Artists & Models for Trade Show Jan2008 Trade Show Expenses Events and Promotions SMAP",80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) May2015 Travel and Entertainment Butler Manufacturing Co Ground Transportation Miscellaneous Company Car (Field Only),78000000
Building and Facility Construction and Maintenance Services,2012Aug Erly Industries Inc Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Editorial and Design and Graphic and Fine Art Services,Production SMAP Artworking/Typesetting Prototype and Comp Production/Packaging Design Apr2002 Champion Parts Inc,82000000
Management and Business Professionals and Administrative Services,Oct-2017 Artesyn Technologies Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,80000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Apr-2010 Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) 2010Apr Travel and Entertainment Metric Capital Corp                                     /Bd Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance Oct-2016 Daly John J,78000000
